"url","Searchresult link","Searchresult link_link","Snp value","Snp value_link","Cmpname value","Cmpname value_link","Yoe value","Yoe value_link","Loc value","Loc value_link","Srcresult description","Srcresult description_link","Skills label","Skills descriptions","Apply label","Apply value"
"https://www.shine.com/job-search/it-software-industry-jobs-3","","","Unix Developer","https://www.shine.com/jobs/unix-developer/collabera-technologies-private-limited/6641901/","Collabera Technologies Private Limited,","https://www.shine.com/jobs/unix-developer/collabera-technologies-private-limited/6641901/","3 to 7 Yrs","https://www.shine.com/jobs/unix-developer/collabera-technologies-private-limited/6641901/","Bangalore, Gurgaon","https://www.shine.com/jobs/unix-developer/collabera-technologies-private-limited/6641901/","Application Developer AIX/UNIX - Advanced Unix Application Developer AIX/UNIX - Perl Scripting, Unix Shell Scripting Application Developer AIX/UNIX - Unix/Linux, Oracle PL/SQL Application Developer AIX/UNIX - Java, Unix/AIX.","https://www.shine.com/jobs/unix-developer/collabera-technologies-private-limited/6641901/","Skills :","Oracle PL/SQL,; Perl Scripting,; Unix Developer,; Unix Shell Scripting,; Unix/Linux","Apply","Posted Date 11-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","Mobile AnalystTata Consultancy Services Ltd.8 to 13 YrsChennai Dear Candidate, We have a job opening for Mobile Analyst position for TCS, Chennai. Role: Mobile Analyst Experience: 8 to 13 Years Location: Chennai Role and Responsibilities Technical lead for.","https://www.shine.com/jobs/mobile-analyst/tata-consultancy-services-ltd/6642563/","Mobile Analyst","https://www.shine.com/jobs/mobile-analyst/tata-consultancy-services-ltd/6642563/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/mobile-analyst/tata-consultancy-services-ltd/6642563/","8 to 13 Yrs","https://www.shine.com/jobs/mobile-analyst/tata-consultancy-services-ltd/6642563/","Chennai","https://www.shine.com/jobs/mobile-analyst/tata-consultancy-services-ltd/6642563/","Dear Candidate, We have a job opening for Mobile Analyst position for TCS, Chennai. Role: Mobile Analyst Experience: 8 to 13 Years Location: Chennai Role and Responsibilities Technical lead for.","https://www.shine.com/jobs/mobile-analyst/tata-consultancy-services-ltd/6642563/","Skills :","Blackberry,; IPAD,; mobile analyst,; Security,; Wireless","Apply","Posted Date 11-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","DB2 Database AdminTata Consultancy Services Ltd.3 to 5 YrsChennai Dear Candidate, We have a job opening for DB2 DBA position for TCS, Chennai. Role: DB2 DBA Experience: 3 to 5 Years Location: Chennai JD Details:- Hands on experience in.","https://www.shine.com/jobs/db2-database-admin/tata-consultancy-services-ltd/6642983/","DB2 Database Admin","https://www.shine.com/jobs/db2-database-admin/tata-consultancy-services-ltd/6642983/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/db2-database-admin/tata-consultancy-services-ltd/6642983/","3 to 5 Yrs","https://www.shine.com/jobs/db2-database-admin/tata-consultancy-services-ltd/6642983/","Chennai","https://www.shine.com/jobs/db2-database-admin/tata-consultancy-services-ltd/6642983/","Dear Candidate, We have a job opening for DB2 DBA position for TCS, Chennai. Role: DB2 DBA Experience: 3 to 5 Years Location: Chennai JD Details:- Hands on experience in.","https://www.shine.com/jobs/db2-database-admin/tata-consultancy-services-ltd/6642983/","Skills :","Administration,; Database Administration,; Databases,; DB2,; L2","Apply","Posted Date 11-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","Lotus Domino AdministratorTata Consultancy Services Ltd.3 to 5 YrsChennai Dear Candidate, We have a job opening for Lotus Domino Administrator position for TCS, Chennai. Role: Lotus Domino Administrator Experience: 3 to 5 Years Location: Chennai JD Details:- Strong understanding.","https://www.shine.com/jobs/lotus-domino-administrator/tata-consultancy-services-ltd/6643005/","Lotus Domino Administrator","https://www.shine.com/jobs/lotus-domino-administrator/tata-consultancy-services-ltd/6643005/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/lotus-domino-administrator/tata-consultancy-services-ltd/6643005/","3 to 5 Yrs","https://www.shine.com/jobs/lotus-domino-administrator/tata-consultancy-services-ltd/6643005/","Chennai","https://www.shine.com/jobs/lotus-domino-administrator/tata-consultancy-services-ltd/6643005/","Dear Candidate, We have a job opening for Lotus Domino Administrator position for TCS, Chennai. Role: Lotus Domino Administrator Experience: 3 to 5 Years Location: Chennai JD Details:- Strong understanding.","https://www.shine.com/jobs/lotus-domino-administrator/tata-consultancy-services-ltd/6643005/","Skills :","Application Server,; Communication,; DOMINO,; Lotus Domino,; MAIL","Apply","Posted Date 11-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","MDM Airwatch ConsultantTata Consultancy Services Ltd.6 to 8 YrsChennai Dear Candidate, We have a job opening for MDM Airwatch consultant position for TCS, Chennai. Skill :- MDM Airwatch Experience: 6 to 8 Years Location: Chennai JD Details:- Associate have.","https://www.shine.com/jobs/mdm-airwatch-consultant/tata-consultancy-services-ltd/6643025/","MDM Airwatch Consultant","https://www.shine.com/jobs/mdm-airwatch-consultant/tata-consultancy-services-ltd/6643025/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/mdm-airwatch-consultant/tata-consultancy-services-ltd/6643025/","6 to 8 Yrs","https://www.shine.com/jobs/mdm-airwatch-consultant/tata-consultancy-services-ltd/6643025/","Chennai","https://www.shine.com/jobs/mdm-airwatch-consultant/tata-consultancy-services-ltd/6643025/","Dear Candidate, We have a job opening for MDM Airwatch consultant position for TCS, Chennai. Skill :- MDM Airwatch Experience: 6 to 8 Years Location: Chennai JD Details:- Associate have.","https://www.shine.com/jobs/mdm-airwatch-consultant/tata-consultancy-services-ltd/6643025/","Skills :","Airwatch,; DOMINO,; LOTUS,; Lotus Domino,; MDM","Apply","Posted Date 11-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","Greenplum DBATata Consultancy Services Ltd.5 to 8 YrsChennai Dear Candidate, We have a job opening for the below mentioned job description. Skill : Greenplum DBA Exp Range : 5 to 8 years Job Location : Chennai Role :.","https://www.shine.com/jobs/greenplum-dba/tata-consultancy-services-ltd/6631975/","Greenplum DBA","https://www.shine.com/jobs/greenplum-dba/tata-consultancy-services-ltd/6631975/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/greenplum-dba/tata-consultancy-services-ltd/6631975/","5 to 8 Yrs","https://www.shine.com/jobs/greenplum-dba/tata-consultancy-services-ltd/6631975/","Chennai","https://www.shine.com/jobs/greenplum-dba/tata-consultancy-services-ltd/6631975/","Dear Candidate, We have a job opening for the below mentioned job description. Skill : Greenplum DBA Exp Range : 5 to 8 years Job Location : Chennai Role :.","https://www.shine.com/jobs/greenplum-dba/tata-consultancy-services-ltd/6631975/","Skills :","Administration,; DBA,; green plum,; greenplum,; Performance Tuning","Apply","Posted Date 10-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","","","Microsoft Dynamics Technical Consultant AX","https://www.shine.com/jobs/microsoft-dynamics-technical-consultant-ax/collabera-technologies-private-limited/6626489/","Collabera Technologies Private Limited,","https://www.shine.com/jobs/microsoft-dynamics-technical-consultant-ax/collabera-technologies-private-limited/6626489/","5 to 7 Yrs","https://www.shine.com/jobs/microsoft-dynamics-technical-consultant-ax/collabera-technologies-private-limited/6626489/","Gurgaon, Delhi","https://www.shine.com/jobs/microsoft-dynamics-technical-consultant-ax/collabera-technologies-private-limited/6626489/","Experience 6+ Type ccc Customization and development of Tables, Forms, Reports and other AX objects. Use required skills in projects like X++, MorphX, Business connector, Enterprise portal Understanding the.","https://www.shine.com/jobs/microsoft-dynamics-technical-consultant-ax/collabera-technologies-private-limited/6626489/","Skills :","Dynamics AX Technical Consultant,; Microsoft Dynamics Technical Consultant AX,; MorphX,; MS Dynamics,; X++","Apply","Posted Date 09-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","","","AEM Developer","https://www.shine.com/jobs/aem-developer/collabera-technologies-private-limited/6597473/","Collabera Technologies Private Limited,","https://www.shine.com/jobs/aem-developer/collabera-technologies-private-limited/6597473/","3 to 7 Yrs","https://www.shine.com/jobs/aem-developer/collabera-technologies-private-limited/6597473/","Bangalore","https://www.shine.com/jobs/aem-developer/collabera-technologies-private-limited/6597473/","Experience on AEM/Java and JEE and experience on AEM Exposure to one or more end to end implementation on AEM Understanding of various Adobe cloud services which can be integrated.","https://www.shine.com/jobs/aem-developer/collabera-technologies-private-limited/6597473/","Skills :","AEM/adobe CQ","Apply","Posted Date 04-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","","","Java Developer","https://www.shine.com/jobs/java-developer/collabera-technologies-private-limited/6597483/","Collabera Technologies Private Limited,","https://www.shine.com/jobs/java-developer/collabera-technologies-private-limited/6597483/","5 to 8 Yrs","https://www.shine.com/jobs/java-developer/collabera-technologies-private-limited/6597483/","Bangalore","https://www.shine.com/jobs/java-developer/collabera-technologies-private-limited/6597483/","Candidate must have working experience on JAVA Springs Implementing REST based API using Springs. Knowledge on Spring Core and Spring MIVC, JAVA, Java Design Patterns. Working experice on Spring.","https://www.shine.com/jobs/java-developer/collabera-technologies-private-limited/6597483/","Skills :","Hibernate,; J2ee,; Java,; Json,; SOA","Apply","Posted Date 04-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","Java DeveloperTata Consultancy Services Ltd.4 to 6 YrsBangalore Role:: Java Developer Location:: Bangalore Experience in Java Development with relevant of 4 Yrs. Experience in J2EE (Spring, Hibernate, JSP, PL/SQL, Struts). Experience in Struts, EJB, SQL, PL/SQL "".","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590639/","Java Developer","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590639/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590639/","4 to 6 Yrs","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590639/","Bangalore","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590639/","Role:: Java Developer Location:: Bangalore Experience in Java Development with relevant of 4 Yrs. Experience in J2EE (Spring, Hibernate, JSP, PL/SQL, Struts). Experience in Struts, EJB, SQL, PL/SQL "".","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590639/","Skills :","Java","Apply","Posted Date 01-Jan-2017"
